Data as of 2025-03-22
Symbol,Name,Asset Class,Assets,Avg. Daily Volume,Price,Inverse,Leveraged,Smart Beta,Currency Hedged,1 Week Returns,1 Month Returns,YTD Price Change,1 Year Returns,3 Year Returns,5 Year Returns,1 Week FF,4 Week FF,YTD FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Annual Dividend Rate,Dividend Date,Dividend, Annual Dividend Yield %, Dividend Frequency, Standard Deviation,P/E Ratio,Beta,5-Day Volatility,20-Day Volatility,50-Day Volatility,200-Day Volatility,Issuer,# of Holdings,% In Top 10,% In Top 15,% In Top 50,ST Cap Gains,LT Cap Gains,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity,Expenses,Performance,Volatility,ETF Database Pro,Dividend,Concentration,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),ESG Exclusion Criteria (%),Sustainable Impact Solutions (%)
DFUS,Dimensional U.S. Equity Market ETF,Equity,"$13,527,700,000","369,661",$61.27,false,False,false,false,0.66%,-7.66%,-3.89%,8.66%,9.58%,N/A,$22.007799,$82.438145,"$1,319.443036","$4,003.869728","$5,553.961692","$5,842.551609",All Cap Equities,2021-06-14,0.09%,$0.66,2024-12-17,$0.23,1.08%,Quarterly,3.65%,0.05,0.99,18.71%,19.99%,16.34%,15.38%,Dimensional,"2,475",30.85%,36.35%,53.44%,40%,20%,1099,$58.94,$65.28,$60.82,$61.51,41.49,A,A,B,B+,A,A-,N/A,6.38,27.75%,46.38%,91.73,11.23%,7.12%
ICSH,iShares Ultra Short-Term Bond Active ETF,Bond,"$5,689,630,000","1,333,157",$50.61,false,False,false,false,0.10%,0.41%,1.10%,5.46%,4.53%,3.45%,-$32.87903,$240.370825,$364.067625,$58.38068,-$823.109965,"$2,888.7394",Corporate Bonds,2013-12-11,0.08%,$2.57,2025-03-03,$0.18,5.09%,Monthly,0.78%,N/A,0.02,12.52%,0.56%,0.46%,0.47%,"BlackRock, Inc.",276,37.49%,40.28%,55.76%,40%,20%,1099,$50.45,$50.62,$50.60,$50.63,77.7,A,A-,C+,A+,B,C,C,6.95,86.14%,70.56%,55.44,2.99%,0.71%
ARKW,ARK Next Generation Internet ETF,Equity,"$1,524,760,000","218,233",$100.11,false,False,false,false,3.98%,-17.08%,-7.29%,21.11%,5.17%,17.79%,-$4.8128,-$46.73485,-$67.133,-$418.6402,-$806.1417,"$1,671.5714",Large Cap Growth Equities,2014-09-30,0.82%,$0.00,2021-12-29,$3.31,0.00%,Annually,16.15%,N/A,1.55,40.30%,55.08%,42.09%,40.39%,ARK Invest LLC,38,61.52%,72.49%,100.00%,40%,20%,1099,$89.40,$112.36,$97.80,$101.30,43.87,A,C,C,C,C+,B,C,4.76,20.98%,18.76%,11.14,5.59%,1.24%
FIXD,First Trust TCW Opportunistic Fixed Income ETF,Bond,"$4,161,970,000","871,789",$43.90,false,False,false,false,0.50%,1.79%,2.90%,4.74%,-0.63%,0.78%,-$102.91465,-$199.3336,-$717.46035,"-$1,047.8079",-$17.304,"$3,467.81585",Total Bond Market,2017-02-14,0.65%,$1.79,2025-02-21,$0.16,4.09%,Monthly,1.05%,N/A,0.14,51.37%,4.95%,5.47%,5.59%,First Trust,698,31.63%,37.11%,59.01%,40%,20%,1099,$43.50,$44.18,$43.69,$44.30,58.87,A,C+,N/A,C+,B,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NEAR,iShares Short Duration Bond Active ETF,Bond,"$3,218,370,000","417,767",$50.83,false,False,false,false,0.23%,0.74%,1.41%,6.00%,5.01%,4.69%,$22.78873,$114.058615,$245.39916,$176.956715,"-$1,357.227255","-$3,301.190945",Total Bond Market,2013-09-25,0.25%,$2.50,2025-03-03,$0.18,4.91%,Monthly,0.92%,N/A,0.05,48.37%,1.41%,1.48%,1.54%,"BlackRock, Inc.","1,019",38.76%,42.34%,54.87%,40%,20%,1099,$50.59,$50.86,$50.79,$50.86,67.59,A,B+,A,A,A,B-,N/A,6.11,23.27%,38.36%,186.76,4.48%,0.52%
DFAX,Dimensional World ex U.S. Core Equity 2 ETF,Equity,"$7,855,030,000","720,456",$26.86,false,False,false,false,0.26%,1.51%,8.05%,8.71%,5.57%,N/A,$21.68456,$100.491211,$152.493753,$688.793072,"$2,230.070552","$2,830.197232",Small Cap Growth Equities,2021-09-13,0.28%,$0.74,2024-12-17,$0.23,2.74%,Quarterly,0.69%,N/A,0.79,32.62%,15.57%,13.19%,12.56%,Dimensional,"10,112",5.78%,7.79%,15.86%,40%,20%,1099,$25.79,$27.26,$26.79,$26.91,58.43,A,A-,C+,B+,A-,A-,N/A,6.75,3.85%,61.85%,211.94,7.05%,5.76%
DFAS,Dimensional U.S. Small Cap ETF,Equity,"$9,361,500,000","522,261",$60.50,false,False,false,false,0.60%,-8.50%,-7.04%,-0.88%,2.89%,N/A,$129.507796,$258.915708,$592.074572,"$1,700.984596","$4,325.079802","$4,947.063313",n/a,2021-06-14,0.26%,$0.60,2024-12-17,$0.18,0.99%,Quarterly,3.37%,0.08,0.97,36.06%,19.53%,17.77%,19.16%,Dimensional,"2,053",3.46%,4.63%,11.67%,40%,20%,1099,$58.27,$64.73,$60.07,$60.83,38.64,A,A-,B-,C+,B+,B,N/A,5.86,43.94%,32.86%,130.15,3.40%,6.31%
FTSM,First Trust Enhanced Short Maturity ETF,Bond,"$6,336,380,000","836,485",$59.99,false,False,false,false,0.13%,0.45%,1.09%,5.22%,4.29%,3.46%,$2.99545,$89.8209,$218.37295,-$355.72945,"$2,223.43165","$1,559.27675",Total Bond Market,2014-08-05,0.45%,$2.87,2025-02-28,$0.20,4.78%,Monthly,0.89%,N/A,0.03,0.94%,0.36%,0.41%,0.45%,First Trust,388,22.30%,24.80%,39.71%,40%,20%,1099,$59.76,$60.00,$59.97,$60.00,87.03,A,B+,B,A,B+,C+,N/A,7.08,98.46%,75.48%,183.31,5.40%,2.45%
BOND,PIMCO Active Bond Exchange-Traded Fund,Bond,"$5,468,840,000","393,123",$92.37,false,False,false,false,0.61%,1.58%,3.01%,6.28%,0.74%,1.53%,$9.18,$50.0044,$307.8642,"$1,297.3948","$1,866.8328","$3,121.451",Total Bond Market,2012-02-29,0.70%,$4.60,2025-03-03,$0.38,4.99%,Monthly,2.08%,N/A,0.18,28.55%,4.76%,5.49%,5.31%,Allianz Investment Management LLC,"1,225",27.09%,36.02%,66.34%,40%,20%,1099,$91.56,$92.71,$92.27,$92.53,59.7,A-,C+,B-,B,B,A-,B+,N/A,N/A,N/A,N/A,N/A,N/A
JEPI,JPMorgan Equity Premium Income Fund,Equity,"$39,297,300,000","4,160,284",$57.11,false,False,false,false,0.26%,-3.83%,0.37%,6.66%,7.01%,N/A,$86.13,"$1,032.591","$2,545.8765","$6,165.08575","$31,632.76575","$38,841.63775",Large Cap Blend Equities,2020-05-20,0.35%,$4.27,2025-03-03,$0.33,7.49%,Monthly,2.24%,18.15,0.62,1.18%,13.05%,10.42%,9.62%,JPMorgan Chase,118,17.90%,25.78%,67.99%,40%,20%,1099,$56.10,$59.42,$56.83,$57.29,44.23,A,B+,B,A,A,A,N/A,6.66,80.00%,57.53%,154.54,10.62%,5.23%
DFIV,Dimensional International Value ETF,Equity,"$9,797,420,000","849,852",$40.22,false,False,false,false,0.52%,4.28%,13.36%,14.33%,10.73%,N/A,$86.272357,$214.105242,$473.234638,"$1,727.031774","$4,173.792939","$4,568.662894",Large Cap Value Equities,2021-09-13,0.35%,$1.38,2024-12-17,$0.35,3.41%,Quarterly,1.27%,N/A,0.79,33.11%,16.24%,14.44%,13.28%,Dimensional,524,15.57%,20.41%,45.69%,40%,20%,1099,$38.08,$40.91,$40.09,$40.31,62.17,A,B+,B+,B-,A,A-,N/A,7.36,29.69%,84.62%,162.69,7.21%,4.57%
IVOL,KraneShares Quadratic Interest Rate Volatility and Inflation Hedge ETF,Bond,"$459,411,000","266,446",$18.51,false,False,false,false,0.93%,4.79%,4.96%,-0.27%,-7.50%,-1.91%,$1.962056,$4.323309,-$13.230007,-$306.357724,-$933.528965,$976.259268,Inflation-Protected Bonds,2019-05-13,1.02%,$0.67,2025-02-27,$0.05,3.62%,Monthly,0.48%,N/A,0.14,45.46%,8.83%,8.63%,8.07%,CICC,3,99.99%,99.99%,99.99%,40%,20%,1099,$17.80,$18.69,$18.46,$18.59,63.99,B-,C,N/A,N/A,N/A,C,N/A,5.86,25.81%,32.87%,1.79,0.00%,0.00%
ARKF,ARK Fintech Innovation ETF,Equity,"$926,444,000","459,649",$35.60,false,False,false,false,3.85%,-15.86%,-3.91%,16.76%,6.32%,14.76%,-$12.2283,-$42.70585,-$92.2775,-$348.8623,-$617.510618,"$1,950.237782",Large Cap Growth Equities,2019-02-04,0.75%,$0.00,2020-12-29,$0.19,0.00%,Annually,5.36%,N/A,1.50,80.50%,50.51%,40.48%,38.51%,ARK Invest LLC,38,54.56%,68.69%,100.00%,40%,20%,1099,$32.26,$39.53,$34.87,$35.98,44.43,A,C,B+,C,B-,C+,N/A,5.06,22.99%,21.88%,8.34,4.66%,0.99%
TOTL,SPDR DoubleLine Total Return Tactical ETF,Bond,"$3,496,240,000","404,520",$40.20,false,False,false,false,0.50%,1.65%,2.92%,6.66%,1.11%,0.92%,$0.0,$30.050937,$36.010292,$653.258692,"$1,238.419848",$886.966855,Total Bond Market,2015-02-23,0.55%,$2.10,2025-03-03,$0.17,5.24%,Monthly,0.94%,N/A,0.13,34.06%,3.58%,4.55%,4.50%,State Street,"1,368",24.48%,29.57%,48.49%,40%,20%,1099,$39.87,$40.31,$40.11,$40.29,61.76,A-,C+,N/A,B,B+,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GSY,Invesco Ultra Short Duration ETF,Bond,"$2,727,870,000","629,061",$50.27,false,False,false,false,0.10%,0.43%,0.71%,3.56%,3.85%,3.34%,$45.1591,$190.8149,$336.4573,$792.83,$133.3547,$315.5273,Corporate Bonds,2008-02-12,0.23%,$1.53,2025-02-24,$0.20,3.05%,Monthly,0.45%,N/A,0.04,15.14%,0.44%,0.96%,0.75%,Invesco,296,16.89%,20.32%,37.23%,40%,20%,1099,$50.08,$50.28,$50.26,$50.28,80.02,A-,B-,C,A,B,C+,A,6.61,64.85%,55.58%,163.29,4.89%,1.75%
FTSL,First Trust Senior Loan Fund,Bond,"$2,386,180,000","318,718",$45.95,false,False,false,false,0.22%,-0.15%,0.51%,6.61%,6.32%,9.81%,$16.05905,$6.87165,$187.29325,$261.63705,"-$1,236.921",$968.24475,High Yield Bonds,2013-05-01,0.87%,$3.42,2025-02-21,$0.26,7.43%,Monthly,1.01%,N/A,0.28,60.47%,1.05%,1.03%,1.60%,First Trust,95,79.31%,82.70%,95.69%,40%,20%,1099,$45.88,$46.01,N/A,N/A,54.4,A,C,A-,A,A-,C+,A-,N/A,N/A,N/A,N/A,N/A,N/A
VNLA,Janus Henderson Short Duration Income ETF,Bond,"$2,385,800,000","410,620",$49.08,false,False,false,false,0.14%,0.42%,1.12%,6.48%,4.81%,3.57%,$9.8015,$56.4,$41.735,$110.677,-$320.7995,"$1,035.889425",Corporate Bonds,2016-11-16,0.23%,$2.42,2025-03-03,$0.20,4.94%,Monthly,0.94%,N/A,0.04,3.66%,0.54%,0.67%,0.76%,Janus Henderson,231,21.93%,26.70%,51.40%,40%,20%,1099,$48.94,$49.08,$49.06,$49.10,80.86,A-,C+,C+,A,B-,C+,N/A,6.21,34.65%,40.97%,348.84,7.88%,0.84%
ARKQ,ARK Autonomous Technology & Robotics ETF,Equity,"$857,757,000","135,057",$69.57,false,False,false,false,1.64%,-13.17%,-9.94%,26.95%,1.24%,19.59%,-$3.42325,-$21.01055,$3.2389,-$214.9086,-$617.2706,$912.8581,All Cap Equities,2014-09-30,0.75%,$0.00,2021-12-29,$0.61,0.00%,Annually,10.47%,0.08,1.30,240.02%,38.46%,34.63%,35.09%,ARK Invest LLC,37,59.83%,72.57%,100.00%,40%,20%,1099,$64.84,$74.85,$68.48,$70.15,43.14,A,C+,A,C,B-,B-,C,6.37,51.41%,46.01%,93.65,21.96%,2.73%
FMB,First Trust Managed Municipal ETF,Bond,"$2,021,130,000","201,969",$50.85,false,False,false,false,0.00%,-0.51%,0.23%,1.93%,1.03%,3.16%,$7.62885,-$2.66155,$35.4987,$61.76555,-$285.280128,$839.327989,National Munis,2014-05-13,0.65%,$1.65,2025-02-21,$0.14,3.25%,Monthly,0.60%,N/A,0.14,6.98%,2.74%,3.29%,4.02%,First Trust,"1,305",5.30%,7.24%,16.92%,40%,20%,1099,$50.67,$51.58,$50.77,$50.97,44.53,A-,C,B+,B+,B-,B-,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HYLS,First Trust Tactical High Yield ETF,Bond,"$1,661,390,000","341,739",$41.29,false,False,false,false,0.36%,-0.48%,0.93%,6.19%,3.32%,8.33%,-$12.3659,-$5.9943,$8.5876,$182.5299,-$131.1993,$543.7574,High Yield Bonds,2013-02-27,1.02%,$2.57,2025-02-21,$0.22,6.21%,Monthly,1.10%,N/A,0.45,9.58%,3.80%,3.48%,3.63%,First Trust,283,25.16%,30.40%,56.49%,40%,20%,1099,$41.03,$41.76,$41.19,$41.44,48.54,A-,C,A-,B-,B+,A-,A-,6.06,86.70%,37.16%,153.37,5.08%,2.64%
JMST,JPMorgan Ultra-Short Municipal Income ETF,Bond,"$3,525,520,000","560,348",$50.83,false,False,false,false,0.04%,0.25%,0.72%,3.49%,2.76%,2.38%,$5.08,$132.106,$441.8225,$878.841,-$111.2605,"$3,330.234",Total Bond Market,2018-10-16,0.18%,$1.65,2025-03-03,$0.13,3.24%,Monthly,0.53%,N/A,0.02,2.45%,0.52%,0.54%,0.67%,JPMorgan Chase,"2,151",21.32%,25.45%,45.55%,40%,20%,1099,$50.73,$50.87,N/A,N/A,67.67,A,A-,N/A,A,A-,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FTGC,First Trust Global Tactical Commodity Strategy Fund,Commodity,"$2,513,030,000","524,097",$25.33,false,False,false,false,0.84%,-2.05%,5.85%,9.95%,2.01%,17.88%,$5.0598,$28.7998,$159.87725,$85.8959,-$963.572986,"$2,374.009744",Commodities,2013-10-22,1.02%,$0.73,2024-12-17,$0.19,2.89%,Quarterly,0.86%,N/A,0.45,9.91%,7.74%,10.38%,10.64%,First Trust,12,90.30%,99.99%,99.99%,40%,20%,1099,$24.71,$25.49,N/A,N/A,56.47,A,C,N/A,N/A,N/A,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USMC,Principal U.S. Mega-Cap ETF,Equity,"$2,497,420,000","119,010",$57.36,false,False,true,false,0.88%,-8.06%,-4.45%,12.65%,12.48%,21.47%,$6.86712,-$5.769416,$44.478736,-$53.131546,$289.654858,-$216.810812,Large Cap Growth Equities,2017-10-12,0.12%,$0.62,2024-12-27,$0.15,1.08%,Quarterly,4.01%,15.46,0.92,20.65%,21.10%,16.87%,15.49%,Principal,27,50.78%,69.68%,100.00%,40%,20%,1099,$54.84,$61.69,$56.91,$57.67,41.0,B+,A-,A-,A,A,A-,N/A,5.95,5.56%,35.00%,30.5,8.74%,3.50%
EMLP,First Trust North American Energy Infrastructure Fund,Equity,"$3,262,150,000","318,954",$37.40,false,False,false,false,0.94%,-0.53%,4.91%,32.58%,16.32%,23.11%,$3.7667,$22.4318,$131.74225,$153.88985,$65.5666,-$282.9223,MLPs,2012-06-21,0.96%,$1.14,2024-12-13,$0.27,3.02%,Quarterly,3.17%,0.05,0.81,3.00%,16.13%,16.26%,15.62%,First Trust,69,46.83%,58.15%,96.33%,40%,20%,1099,$35.81,$37.95,$37.22,$37.64,54.43,A,C,C+,C+,B-,A,C+,6.59,37.96%,54.84%,"1,084.71",19.54%,2.62%
FBND,Fidelity Total Bond ETF,Bond,"$18,420,000,000","2,104,530",$45.73,false,False,false,false,0.46%,1.39%,2.61%,5.74%,0.98%,2.64%,$179.615749,$540.077361,"$1,210.356627","$10,508.88473","$16,000.298407","$17,537.974227",Total Bond Market,2014-10-06,0.36%,$2.09,2025-02-27,$0.16,4.56%,Monthly,1.01%,0.11,0.17,54.22%,4.47%,4.88%,4.94%,Fidelity,"4,145",23.26%,28.67%,46.79%,40%,20%,1099,$45.39,$45.93,$45.65,$45.87,58.55,A,B-,C+,B-,B,A-,N/A,5.78,7.69%,31.50%,221.01,1.63%,0.42%
AVUV,Avantis U.S. Small Cap Value ETF,Equity,"$14,788,500,000","1,098,638",$87.86,false,False,false,false,0.97%,-8.93%,-8.98%,-3.58%,4.39%,27.82%,$36.83381,$32.892236,$850.812852,"$4,850.006442","$11,293.395492","$13,523.63502",Small Cap Value Equities,2019-09-24,0.25%,$1.56,2024-12-17,$0.44,1.77%,Quarterly,4.90%,0.14,1.28,172.30%,19.07%,18.06%,20.79%,American Century Investments,784,8.78%,12.38%,32.28%,40%,20%,1099,$83.91,$94.30,$87.19,$88.37,37.84,A,B+,N/A,N/A,N/A,B+,N/A,5.64,25.81%,29.47%,209.23,2.09%,5.27%
PULS,PGIM Ultra Short Bond ETF,Bond,"$10,858,500,000","2,494,248",$49.66,false,False,false,false,0.08%,0.30%,0.99%,5.62%,5.12%,4.52%,$102.983725,$405.53455,"$1,702.664825","$4,703.752925","$8,246.62822","$9,849.461493",Total Bond Market,2018-04-05,0.15%,$2.70,2025-03-03,$0.18,5.43%,Monthly,0.79%,N/A,0.04,10.34%,0.42%,0.39%,0.40%,Prudential,479,26.59%,29.12%,43.42%,40%,20%,1099,$49.54,$49.67,N/A,N/A,82.13,A,A-,N/A,A,A,B,N/A,6.98,87.13%,71.74%,151.57,6.94%,1.52%
PSC,Principal U.S. Small-Cap ETF,Equity,"$711,571,000","65,115",$48.68,false,False,true,false,0.72%,-8.12%,-5.05%,0.00%,3.77%,22.01%,$0.96591,$18.066066,$13.760556,$192.60697,-$58.72724,-$37.605635,Small Cap Blend Equities,2016-09-21,0.38%,$0.38,2024-12-27,$0.08,0.78%,Quarterly,2.62%,8.94,1.19,149.57%,21.35%,19.90%,21.11%,Principal,495,9.66%,13.22%,31.49%,40%,20%,1099,$46.93,$51.69,$48.38,$48.94,41.16,B-,A-,C+,B+,B,B+,N/A,5.6,23.25%,28.95%,114.89,0.99%,8.63%
FLCB,Franklin U.S. Core Bond ETF,Bond,"$2,420,580,000","323,623",$21.47,false,False,false,false,0.66%,1.43%,2.50%,5.38%,0.28%,0.57%,$0.0,-$0.099,$85.084,$646.844,"$1,095.841","$1,795.892",Total Bond Market,2019-09-17,0.15%,$0.89,2025-03-03,$0.07,4.14%,Monthly,0.46%,N/A,0.16,41.45%,5.00%,5.60%,5.29%,Franklin Templeton,391,26.24%,31.36%,50.23%,40%,20%,1099,$21.28,$21.53,$21.44,$21.50,58.56,A-,A-,N/A,B,A,A,N/A,6.06,33.46%,37.10%,361.08,4.67%,0.87%
AVUS,Avantis U.S. Equity ETF,Equity,"$7,707,530,000","391,836",$93.34,false,False,false,false,0.67%,-7.57%,-3.70%,5.91%,8.30%,22.37%,-$33.48243,$42.292032,$179.892393,$864.755601,"$4,267.427853","$5,735.203937",All Cap Equities,2019-09-24,0.15%,$1.23,2024-12-17,$0.34,1.32%,Quarterly,5.05%,0.07,1.05,48.96%,19.41%,15.85%,15.16%,American Century Investments,"1,990",24.51%,28.45%,44.12%,40%,20%,1099,$89.92,$99.42,$92.69,$93.71,41.11,A,A,N/A,A-,A,B,N/A,6.36,24.60%,45.52%,127.49,8.88%,5.87%
BLOK,Amplify Transformational Data Sharing ETF,Equity,"$717,849,000","325,367",$39.71,false,False,false,false,1.59%,-18.01%,-8.06%,18.50%,7.63%,29.35%,-$9.925,-$52.632,-$39.3315,-$78.603,-$327.216,$858.009,Technology Equities,2018-01-16,0.76%,$2.59,2024-12-30,$2.59,6.56%,Annually,6.31%,N/A,1.50,81.15%,53.96%,46.75%,49.00%,Amplify Investments,51,37.94%,52.82%,100.06%,40%,20%,1099,$36.51,$43.78,$39.15,$40.05,43.09,A-,C+,C,C,B-,A,N/A,4.92,22.03%,20.51%,201.06,3.61%,2.05%
